Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
2008,ARG,F,Taekwondo,0,0,0,1
2012,ARG,F,Taekwondo,0,0,0,1
1988,ARG,F,Tennis,0,0,1,3
1992,ARG,F,Tennis,0,0,0,3
1996,ARG,F,Tennis,0,0,0,4
2000,ARG,F,Tennis,0,0,0,4
2004,ARG,F,Tennis,1,0,0,4
2008,ARG,F,Tennis,0,0,0,2
2012,ARG,F,Tennis,0,0,0,2
2020,ARG,F,Tennis,0,0,0,1
2024,ARG,F,Tennis,0,0,0,2
2004,ARG,F,Triathlon,0,0,0,1
2020,ARG,F,Triathlon,0,0,0,1
2024,ARG,F,Triathlon,0,0,0,1
2012,ARG,F,Volleyball,0,0,0,2
2016,ARG,F,Volleyball,0,0,0,14
2020,ARG,F,Volleyball,0,0,0,14
2000,ARG,F,Weightlifting,0,0,0,1
2004,ARG,F,Weightlifting,0,0,0,1
2016,ARG,F,Weightlifting,0,0,0,1
2012,ARG,F,Wrestling,0,0,0,1
2016,ARG,F,Wrestling,0,0,0,1
1988,ARG,M,Archery,0,0,0,2
2024,ARG,M,Archery,0,0,0,1
1932,ARG,M,Art Competitions,0,0,0,1
1924,ARG,M,Athletics,0,0,1,10
1928,ARG,M,Athletics,0,0,0,7
1932,ARG,M,Athletics,0,1,0,11
1936,ARG,M,Athletics,0,0,0,8
1948,ARG,M,Athletics,0,1,0,22
1952,ARG,M,Athletics,0,0,1,10
1956,ARG,M,Athletics,0,0,0,1
1960,ARG,M,Athletics,0,0,0,4
1964,ARG,M,Athletics,0,0,0,2
1968,ARG,M,Athletics,0,0,0,5
1972,ARG,M,Athletics,0,0,0,8
1976,ARG,M,Athletics,0,0,0,2
1984,ARG,M,Athletics,0,0,0,4
1988,ARG,M,Athletics,0,0,0,2
1992,ARG,M,Athletics,0,0,0,3
1996,ARG,M,Athletics,0,0,0,4
2000,ARG,M,Athletics,0,0,0,6
2004,ARG,M,Athletics,0,0,0,3
2008,ARG,M,Athletics,0,0,0,8
2012,ARG,M,Athletics,0,0,0,6
2016,ARG,M,Athletics,0,0,0,7
2020,ARG,M,Athletics,0,0,0,3
2024,ARG,M,Athletics,0,0,0,3
1948,ARG,M,Basketball,0,0,0,14
1952,ARG,M,Basketball,0,0,0,14
1996,ARG,M,Basketball,0,0,0,12
2004,ARG,M,Basketball,0,1,0,12
2008,ARG,M,Basketball,1,0,0,12
2012,ARG,M,Basketball,0,0,0,12
2016,ARG,M,Basketball,0,0,0,12
2020,ARG,M,Basketball,0,0,0,12
1920,ARG,M,Boxing,0,0,0,1
1924,ARG,M,Boxing,2,0,2,10
1928,ARG,M,Boxing,0,2,2,8
1932,ARG,M,Boxing,0,2,1,8
1936,ARG,M,Boxing,2,1,1,8
1948,ARG,M,Boxing,1,2,0,8
1952,ARG,M,Boxing,1,0,1,10
1956,ARG,M,Boxing,1,0,0,10
1960,ARG,M,Boxing,1,0,0,10
1964,ARG,M,Boxing,0,0,0,10
1968,ARG,M,Boxing,1,0,0,7
1972,ARG,M,Boxing,0,0,0,5
1976,ARG,M,Boxing,0,0,0,3
1984,ARG,M,Boxing,0,0,0,6
1988,ARG,M,Boxing,0,0,0,4
1992,ARG,M,Boxing,0,0,0,3
1996,ARG,M,Boxing,1,0,0,5
2000,ARG,M,Boxing,0,0,0,7
2004,ARG,M,Boxing,0,0,0,1
2008,ARG,M,Boxing,0,0,0,1
2012,ARG,M,Boxing,0,0,0,2
2016,ARG,M,Boxing,0,0,0,6
2020,ARG,M,Boxing,0,0,0,4
1984,ARG,M,Canoeing,0,0,0,1
1988,ARG,M,Canoeing,0,0,0,5
1992,ARG,M,Canoeing,0,0,0,5
1996,ARG,M,Canoeing,0,0,0,4
2000,ARG,M,Canoeing,0,0,0,3
2004,ARG,M,Canoeing,0,0,0,1
2008,ARG,M,Canoeing,0,0,0,1
2012,ARG,M,Canoeing,0,0,0,3
2016,ARG,M,Canoeing,0,0,0,6
2020,ARG,M,Canoeing,0,0,0,3
2024,ARG,M,Canoeing,0,0,0,1
1924,ARG,M,Cycling,0,0,0,5
1928,ARG,M,Cycling,0,0,0,6
1948,ARG,M,Cycling,0,0,0,12
1952,ARG,M,Cycling,0,0,0,6
1960,ARG,M,Cycling,0,0,0,8
1964,ARG,M,Cycling,0,0,0,10
1968,ARG,M,Cycling,0,0,0,9
1972,ARG,M,Cycling,0,0,0,8
1976,ARG,M,Cycling,0,0,0,4
1984,ARG,M,Cycling,0,0,0,8
1988,ARG,M,Cycling,0,0,0,7
1992,ARG,M,Cycling,0,0,0,8
1996,ARG,M,Cycling,0,0,0,9
2000,ARG,M,Cycling,0,0,0,7
2004,ARG,M,Cycling,0,0,0,3
2008,ARG,M,Cycling,0,1,0,8
2012,ARG,M,Cycling,0,0,0,4
2016,ARG,M,Cycling,0,0,0,5
2020,ARG,M,Cycling,0,0,0,2
2024,ARG,M,Cycling,0,1,0,4
1928,ARG,M,Equestrianism,0,0,0,3
1948,ARG,M,Equestrianism,0,0,0,9
1952,ARG,M,Equestrianism,0,0,0,6
1956,ARG,M,Equestrianism,0,0,0,7
1960,ARG,M,Equestrianism,0,0,0,9
1964,ARG,M,Equestrianism,0,0,1,8
1968,ARG,M,Equestrianism,0,0,0,8
1972,ARG,M,Equestrianism,0,0,0,9
1976,ARG,M,Equestrianism,0,0,0,7
1984,ARG,M,Equestrianism,0,0,0,4
1996,ARG,M,Equestrianism,0,0,0,5
2000,ARG,M,Equestrianism,0,0,0,1
2004,ARG,M,Equestrianism,0,0,0,4
2008,ARG,M,Equestrianism,0,0,0,1
2012,ARG,M,Equestrianism,0,0,0,2
2016,ARG,M,Equestrianism,0,0,0,4
2020,ARG,M,Equestrianism,0,0,0,4
2024,ARG,M,Equestrianism,0,0,0,1
1900,ARG,M,Fencing,0,0,0,1
1924,ARG,M,Fencing,0,0,0,13
1928,ARG,M,Fencing,1,0,0,9
1932,ARG,M,Fencing,0,0,0,5
1936,ARG,M,Fencing,0,0,0,11
1948,ARG,M,Fencing,0,0,0,16
1952,ARG,M,Fencing,0,0,0,10
1956,ARG,M,Fencing,0,0,0,1
1960,ARG,M,Fencing,0,0,0,6
1964,ARG,M,Fencing,0,0,0,10
1968,ARG,M,Fencing,0,0,0,9
1972,ARG,M,Fencing,0,0,0,4
1976,ARG,M,Fencing,0,0,0,7
1984,ARG,M,Fencing,0,0,0,6
1988,ARG,M,Fencing,0,0,0,2
1992,ARG,M,Fencing,0,0,0,2
1996,ARG,M,Fencing,0,0,0,1
2000,ARG,M,Fencing,0,0,0,2
2008,ARG,M,Fencing,0,0,0,1
2024,ARG,M,Fencing,0,0,0,1
1908,ARG,M,Figure Skating,0,0,0,1
1928,ARG,M,Football,0,0,1,16
1960,ARG,M,Football,0,0,0,13
1964,ARG,M,Football,0,0,0,14
1988,ARG,M,Football,0,0,0,16
1996,ARG,M,Football,0,0,1,18
2004,ARG,M,Football,0,1,0,16
2008,ARG,M,Football,0,1,0,18
2016,ARG,M,Football,0,0,0,16
2020,ARG,M,Football,0,0,0,22
2024,ARG,M,Football,0,0,0,18
2016,ARG,M,Golf,0,0,0,2
2024,ARG,M,Golf,0,0,0,2
1948,ARG,M,Gymnastics,0,0,0,7
1952,ARG,M,Gymnastics,0,0,0,2
1960,ARG,M,Gymnastics,0,0,0,1
1964,ARG,M,Gymnastics,0,0,0,1
1992,ARG,M,Gymnastics,0,0,0,1
1996,ARG,M,Gymnastics,0,0,0,1
2012,ARG,M,Gymnastics,0,0,0,1
2016,ARG,M,Gymnastics,0,0,0,1
2012,ARG,M,Handball,0,0,0,15
2016,ARG,M,Handball,0,0,0,14
2020,ARG,M,Handball,0,0,0,16
2024,ARG,M,Handball,0,0,0,15
1948,ARG,M,Hockey,0,0,0,12
1968,ARG,M,Hockey,0,0,0,18
1972,ARG,M,Hockey,0,0,0,16
1976,ARG,M,Hockey,0,0,0,16
1988,ARG,M,Hockey,0,0,0,16
1992,ARG,M,Hockey,0,0,0,16
1996,ARG,M,Hockey,0,0,0,16
2000,ARG,M,Hockey,0,0,0,16
2004,ARG,M,Hockey,0,0,0,16
2012,ARG,M,Hockey,0,0,0,16
2016,ARG,M,Hockey,0,1,0,18
2020,ARG,M,Hockey,0,0,0,18
2024,ARG,M,Hockey,0,0,0,18
1964,ARG,M,Judo,0,0,0,3
1972,ARG,M,Judo,0,0,0,1
1976,ARG,M,Judo,0,0,0,2
1984,ARG,M,Judo,0,0,0,4
1988,ARG,M,Judo,0,0,0,3
1992,ARG,M,Judo,0,0,0,7
1996,ARG,M,Judo,0,0,0,7
2000,ARG,M,Judo,0,0,0,7
2004,ARG,M,Judo,0,0,0,7
2008,ARG,M,Judo,0,0,0,6
2012,ARG,M,Judo,0,0,0,3
2016,ARG,M,Judo,0,0,0,1
2020,ARG,M,Judo,0,0,0,1
1948,ARG,M,Modern Pentathlon,0,0,0,3
1952,ARG,M,Modern Pentathlon,0,0,0,3
1956,ARG,M,Modern Pentathlon,0,0,0,1
1960,ARG,M,Modern Pentathlon,0,0,0,3
2016,ARG,M,Modern Pentathlon,0,0,0,1
2020,ARG,M,Modern Pentathlon,0,0,0,1
2024,ARG,M,Modern Pentathlon,0,0,0,1
1924,ARG,M,Polo,0,1,0,5
1936,ARG,M,Polo,0,1,0,4
1924,ARG,M,Rowing,0,0,0,9
1928,ARG,M,Rowing,0,0,0,9
1936,ARG,M,Rowing,1,0,0,3
1948,ARG,M,Rowing,0,0,0,26
1952,ARG,M,Rowing,0,1,0,9
1960,ARG,M,Rowing,0,0,0,9
1964,ARG,M,Rowing,0,0,0,12
1968,ARG,M,Rowing,1,0,0,9
1972,ARG,M,Rowing,0,0,1,18
1976,ARG,M,Rowing,0,0,0,10
1984,ARG,M,Rowing,0,0,0,7
1988,ARG,M,Rowing,0,0,0,6
1992,ARG,M,Rowing,0,0,0,6
1996,ARG,M,Rowing,0,0,0,17
2000,ARG,M,Rowing,0,0,0,5
2004,ARG,M,Rowing,0,0,0,3
2008,ARG,M,Rowing,0,0,0,1
2012,ARG,M,Rowing,0,0,0,5
2016,ARG,M,Rowing,0,0,0,1
2024,ARG,M,Rowing,0,0,0,2
2016,ARG,M,Rugby,0,0,0,13
2020,ARG,M,Rugby,1,0,0,13
2024,ARG,M,Rugby,0,0,0,14
1924,ARG,M,Sailing,0,0,0,5
1928,ARG,M,Sailing,0,0,0,5
1936,ARG,M,Sailing,0,0,0,11
1948,ARG,M,Sailing,0,0,1,13
1952,ARG,M,Sailing,0,0,0,14
1956,ARG,M,Sailing,0,0,0,6
1960,ARG,M,Sailing,0,0,1,9
1964,ARG,M,Sailing,0,0,0,6
1968,ARG,M,Sailing,0,0,0,6
1972,ARG,M,Sailing,0,0,0,9
1976,ARG,M,Sailing,0,0,0,4
1984,ARG,M,Sailing,0,0,0,8
1988,ARG,M,Sailing,0,0,0,11
1992,ARG,M,Sailing,0,0,0,5
1996,ARG,M,Sailing,0,0,1,6
2000,ARG,M,Sailing,1,0,1,8
2004,ARG,M,Sailing,1,0,0,7
2008,ARG,M,Sailing,1,0,0,6
2012,ARG,M,Sailing,1,0,0,4
2016,ARG,M,Sailing,0,0,0,8
2020,ARG,M,Sailing,0,0,0,4
2024,ARG,M,Sailing,0,0,0,3
1924,ARG,M,Shooting,0,0,0,8
1932,ARG,M,Shooting,0,0,0,2
1936,ARG,M,Shooting,0,0,0,5
1948,ARG,M,Shooting,0,0,1,12
1952,ARG,M,Shooting,0,0,0,7
1956,ARG,M,Shooting,0,0,0,4
1960,ARG,M,Shooting,0,0,0,7
1964,ARG,M,Shooting,0,0,0,8
1968,ARG,M,Shooting,0,0,0,4
1972,ARG,M,Shooting,0,0,0,5
1976,ARG,M,Shooting,0,0,0,6
1984,ARG,M,Shooting,0,0,0,6
1988,ARG,M,Shooting,0,0,0,3
1992,ARG,M,Shooting,0,0,0,2
1996,ARG,M,Shooting,0,0,0,3
2000,ARG,M,Shooting,0,0,0,3
2004,ARG,M,Shooting,0,0,0,3
2008,ARG,M,Shooting,0,0,0,1
2012,ARG,M,Shooting,0,0,0,2
2016,ARG,M,Shooting,0,0,0,2
2020,ARG,M,Shooting,0,0,0,2
2024,ARG,M,Shooting,0,0,0,2
2024,ARG,M,Skateboarding,0,0,0,2
2020,ARG,M,Surfing,0,0,0,1
1924,ARG,M,Swimming,0,0,0,4
1928,ARG,M,Swimming,0,1,0,4
1932,ARG,M,Swimming,0,0,0,5
1948,ARG,M,Swimming,0,0,0,11
1952,ARG,M,Swimming,0,0,0,6
1960,ARG,M,Swimming,0,0,0,3
1964,ARG,M,Swimming,0,0,0,6
1968,ARG,M,Swimming,0,0,0,5
1972,ARG,M,Swimming,0,0,0,2
1976,ARG,M,Swimming,0,0,0,1
1984,ARG,M,Swimming,0,0,0,4
1992,ARG,M,Swimming,0,0,0,3
1996,ARG,M,Swimming,0,0,0,2
2000,ARG,M,Swimming,0,0,0,7
2004,ARG,M,Swimming,0,0,0,5
2008,ARG,M,Swimming,0,0,0,6
2012,ARG,M,Swimming,0,0,0,2
2016,ARG,M,Swimming,0,0,0,3
2020,ARG,M,Swimming,0,0,0,1
2024,ARG,M,Swimming,0,0,0,1
2000,ARG,M,Table Tennis,0,0,0,2
2004,ARG,M,Table Tennis,0,0,0,3
2008,ARG,M,Table Tennis,0,0,0,2
2012,ARG,M,Table Tennis,0,0,0,1
2020,ARG,M,Table Tennis,0,0,0,2
2024,ARG,M,Table Tennis,0,0,0,1
2000,ARG,M,Taekwondo,0,0,0,2
2004,ARG,M,Taekwondo,0,0,0,1
2012,ARG,M,Taekwondo,0,1,0,1
2020,ARG,M,Taekwondo,0,0,0,1
2024,ARG,M,Taekwondo,0,0,0,1
1924,ARG,M,Tennis,0,0,0,5
1988,ARG,M,Tennis,0,0,0,2
1992,ARG,M,Tennis,1,0,0,3
1996,ARG,M,Tennis,0,0,0,4
2000,ARG,M,Tennis,0,0,0,4
2004,ARG,M,Tennis,0,0,0,5
2008,ARG,M,Tennis,0,0,0,4
2012,ARG,M,Tennis,1,0,0,5
2016,ARG,M,Tennis,0,0,1,6
2020,ARG,M,Tennis,0,0,0,6
2024,ARG,M,Tennis,0,0,0,6
2000,ARG,M,Triathlon,0,0,0,1
2004,ARG,M,Triathlon,0,0,0,1
2012,ARG,M,Triathlon,0,0,0,1
2016,ARG,M,Triathlon,0,0,0,2
1984,ARG,M,Volleyball,0,0,0,10
1988,ARG,M,Volleyball,1,0,0,12
1996,ARG,M,Volleyball,0,0,0,14
2000,ARG,M,Volleyball,0,0,0,16
2004,ARG,M,Volleyball,0,0,0,14
2008,ARG,M,Volleyball,0,0,0,2
2012,ARG,M,Volleyball,0,0,0,12
2016,ARG,M,Volleyball,0,0,0,12
2020,ARG,M,Volleyball,1,0,0,14
2024,ARG,M,Volleyball,0,0,0,13
1928,ARG,M,Water Polo,0,0,0,7
1948,ARG,M,Water Polo,0,0,0,7
1952,ARG,M,Water Polo,0,0,0,7
1960,ARG,M,Water Polo,0,0,0,7
1924,ARG,M,Weightlifting,0,0,0,3
1928,ARG,M,Weightlifting,0,0,0,3
1932,ARG,M,Weightlifting,0,0,0,1
1948,ARG,M,Weightlifting,0,0,0,8
1952,ARG,M,Weightlifting,1,0,0,5
1956,ARG,M,Weightlifting,0,0,1,2
1964,ARG,M,Weightlifting,0,0,0,2
1968,ARG,M,Weightlifting,0,0,0,1
1992,ARG,M,Weightlifting,0,0,0,2
1996,ARG,M,Weightlifting,0,0,0,3
2000,ARG,M,Weightlifting,0,0,0,1
2004,ARG,M,Weightlifting,0,0,0,1
2008,ARG,M,Weightlifting,0,0,0,1
1928,ARG,M,Wrestling,0,0,0,5
1948,ARG,M,Wrestling,0,0,0,8
1952,ARG,M,Wrestling,0,0,0,6
1956,ARG,M,Wrestling,0,0,0,2
1960,ARG,M,Wrestling,0,0,0,2
1964,ARG,M,Wrestling,0,0,0,4
1968,ARG,M,Wrestling,0,0,0,3
1972,ARG,M,Wrestling,0,0,0,3
1976,ARG,M,Wrestling,0,0,0,3
1984,ARG,M,Wrestling,0,0,0,3
1988,ARG,M,Wrestling,0,0,0,2
1992,ARG,M,Wrestling,0,0,0,1
1996,ARG,M,Wrestling,0,0,0,1
2020,ARG,M,Wrestling,0,0,0,1
2000,ARM,F,Athletics,0,0,0,1
2004,ARM,F,Athletics,0,0,0,1
2008,ARM,F,Athletics,0,0,0,1
2012,ARM,F,Athletics,0,0,0,1
2016,ARM,F,Athletics,0,0,0,4
1996,ARM,F,Diving,0,0,0,1
2016,ARM,F,Gymnastics,0,0,0,1
2020,ARM,F,Shooting,0,0,0,1
2024,ARM,F,Shooting,0,0,0,1
1996,ARM,F,Swimming,0,0,0,1
2000,ARM,F,Swimming,0,0,0,1
2004,ARM,F,Swimming,0,0,0,1
2012,ARM,F,Swimming,0,0,0,1
2020,ARM,F,Swimming,0,0,0,1
2024,ARM,F,Swimming,0,0,0,1
2008,ARM,F,Weightlifting,0,0,0,1
2012,ARM,F,Weightlifting,1,0,0,2
2016,ARM,F,Weightlifting,0,0,0,2
2020,ARM,F,Weightlifting,0,0,0,1
1996,ARM,M,Athletics,0,0,0,2
2000,ARM,M,Athletics,0,0,0,2
2004,ARM,M,Athletics,0,0,0,1
2008,ARM,M,Athletics,0,0,0,1
2012,ARM,M,Athletics,0,0,0,3
2016,ARM,M,Athletics,0,0,0,1
2020,ARM,M,Athletics,0,0,0,1
2024,ARM,M,Athletics,0,0,0,1
1996,ARM,M,Boxing,0,0,0,4
2000,ARM,M,Boxing,0,0,0,3
2004,ARM,M,Boxing,0,0,0,1
2008,ARM,M,Boxing,1,0,0,4
2012,ARM,M,Boxing,0,0,0,1
2016,ARM,M,Boxing,0,0,0,5
2020,ARM,M,Boxing,1,0,0,3
2024,ARM,M,Boxing,0,0,0,1
2000,ARM,M,Canoeing,0,0,0,1
1996,ARM,M,Cycling,0,0,0,1
1996,ARM,M,Diving,0,0,0,1
2000,ARM,M,Diving,0,0,0,1
1996,ARM,M,Gymnastics,0,0,0,1
2012,ARM,M,Gymnastics,0,0,0,1
2016,ARM,M,Gymnastics,0,0,0,2
2020,ARM,M,Gymnastics,1,0,0,1
2024,ARM,M,Gymnastics,0,0,1,2
1996,ARM,M,Judo,0,0,0,1
2000,ARM,M,Judo,0,0,0,1
2004,ARM,M,Judo,0,0,0,1
2008,ARM,M,Judo,0,0,0,2
2012,ARM,M,Judo,0,0,0,2
2016,ARM,M,Judo,0,0,0,1
2020,ARM,M,Judo,0,0,0,1
1996,ARM,M,Shooting,0,0,0,1
2000,ARM,M,Shooting,0,0,0,1
2004,ARM,M,Shooting,0,0,0,1
2008,ARM,M,Shooting,0,0,0,1
2012,ARM,M,Shooting,0,0,0,1
2016,ARM,M,Shooting,0,0,0,1
2000,ARM,M,Swimming,0,0,0,1
2008,ARM,M,Swimming,0,0,0,1
2012,ARM,M,Swimming,0,0,0,1
2016,ARM,M,Swimming,0,0,0,1
2020,ARM,M,Swimming,0,0,0,1
2024,ARM,M,Swimming,0,0,0,1
2012,ARM,M,Taekwondo,0,0,0,1
1996,ARM,M,Tennis,0,0,0,1
2000,ARM,M,Tennis,0,0,0,1
2004,ARM,M,Tennis,0,0,0,1
1996,ARM,M,Weightlifting,0,0,0,10
2000,ARM,M,Weightlifting,1,0,0,4
2004,ARM,M,Weightlifting,0,0,0,4
2008,ARM,M,Weightlifting,3,0,0,4
2012,ARM,M,Weightlifting,0,0,0,3
2016,ARM,M,Weightlifting,0,0,2,5
2020,ARM,M,Weightlifting,0,0,1,1
2024,ARM,M,Weightlifting,0,0,1,3
1996,ARM,M,Wrestling,0,1,1,8
2000,ARM,M,Wrestling,0,0,0,8
2004,ARM,M,Wrestling,0,0,0,7
2008,ARM,M,Wrestling,2,0,0,9
2012,ARM,M,Wrestling,1,0,1,7
2016,ARM,M,Wrestling,0,1,1,8
2020,ARM,M,Wrestling,0,0,1,6
2024,ARM,M,Wrestling,1,0,1,5
1988,ARU,F,Athletics,0,0,0,2
1992,ARU,F,Athletics,0,0,0,1
2000,ARU,F,Athletics,0,0,0,1
2024,ARU,F,Cycling,0,0,0,1
2016,ARU,F,Sailing,0,0,0,2
2000,ARU,F,Swimming,0,0,0,1
2004,ARU,F,Swimming,0,0,0,1
2012,ARU,F,Swimming,0,0,0,1
2016,ARU,F,Swimming,0,0,0,1
2020,ARU,F,Swimming,0,0,0,1
2024,ARU,F,Swimming,0,0,0,1
1988,ARU,F,Synchronized Swimming,0,0,0,2
2016,ARU,F,Taekwondo,0,0,0,1
1992,ARU,M,Athletics,0,0,0,1
1996,ARU,M,Athletics,0,0,0,1
2000,ARU,M,Athletics,0,0,0,1
2004,ARU,M,Athletics,0,0,0,1
1988,ARU,M,Boxing,0,0,0,2
1992,ARU,M,Cycling,0,0,0,2
1996,ARU,M,Cycling,0,0,0,1
1988,ARU,M,Fencing,0,0,0,1
1988,ARU,M,Judo,0,0,0,1
2000,ARU,M,Judo,0,0,0,1
2008,ARU,M,Judo,0,0,0,1
2012,ARU,M,Judo,0,0,0,1
2016,ARU,M,Judo,0,0,0,1
1992,ARU,M,Sailing,0,0,0,1
2016,ARU,M,Sailing,0,0,0,1
2024,ARU,M,Sailing,0,0,0,2
2020,ARU,M,Shooting,0,0,0,1
2024,ARU,M,Shooting,0,0,0,1
2000,ARU,M,Swimming,0,0,0,1
2004,ARU,M,Swimming,0,0,0,1
2008,ARU,M,Swimming,0,0,0,1
2012,ARU,M,Swimming,0,0,0,1
2016,ARU,M,Swimming,0,0,0,1
2020,ARU,M,Swimming,0,0,0,1
2024,ARU,M,Swimming,0,0,0,1
1996,ARU,M,Weightlifting,0,0,0,1
2004,ARU,M,Weightlifting,0,0,0,1
2012,ARU,M,Weightlifting,0,0,0,1
1996,ASA,F,Athletics,0,0,0,1
2000,ASA,F,Athletics,0,0,0,1
2004,ASA,F,Athletics,0,0,0,1
2016,ASA,F,Athletics,0,0,0,1
2024,ASA,F,Athletics,0,0,0,1
2008,ASA,F,Judo,0,0,0,1
2008,ASA,F,Swimming,0,0,0,1
2012,ASA,F,Swimming,0,0,0,1
2020,ASA,F,Swimming,0,0,0,1
2000,ASA,M,Archery,0,0,0,1
1988,ASA,M,Athletics,0,0,0,1
1996,ASA,M,Athletics,0,0,0,1
2000,ASA,M,Athletics,0,0,0,1
2004,ASA,M,Athletics,0,0,0,1
2008,ASA,M,Athletics,0,0,0,1
2012,ASA,M,Athletics,0,0,0,1
2016,ASA,M,Athletics,0,0,0,1
2020,ASA,M,Athletics,0,0,0,1
1988,ASA,M,Boxing,0,0,0,2
1992,ASA,M,Boxing,0,0,0,2
1996,ASA,M,Boxing,0,0,0,1
2012,ASA,M,Judo,0,0,0,1
2016,ASA,M,Judo,0,0,0,1
1996,ASA,M,Sailing,0,0,0,2
2020,ASA,M,Sailing,0,0,0,2
2008,ASA,M,Swimming,0,0,0,1
2012,ASA,M,Swimming,0,0,0,1
2020,ASA,M,Swimming,0,0,0,1
2024,ASA,M,Swimming,0,0,0,1
1988,ASA,M,Weightlifting,0,0,0,2
1992,ASA,M,Weightlifting,0,0,0,1
1996,ASA,M,Weightlifting,0,0,0,1
2000,ASA,M,Weightlifting,0,0,0,1
2004,ASA,M,Weightlifting,0,0,0,1
2016,ASA,M,Weightlifting,0,0,0,1
2020,ASA,M,Weightlifting,0,0,0,1
1988,ASA,M,Wrestling,0,0,0,1
1996,ASA,M,Wrestling,0,0,0,1
1972,AUS,F,Archery,0,0,0,1
1976,AUS,F,Archery,0,0,0,2
1980,AUS,F,Archery,0,0,0,2
1984,AUS,F,Archery,0,0,0,1
1996,AUS,F,Archery,0,0,0,2
2000,AUS,F,Archery,0,0,0,3
2004,AUS,F,Archery,0,0,0,3
2008,AUS,F,Archery,0,0,0,2
2012,AUS,F,Archery,0,0,0,1
2016,AUS,F,Archery,0,0,0,1
2020,AUS,F,Archery,0,0,0,1
2024,AUS,F,Archery,0,0,0,1
1924,AUS,F,Art Competitions,0,0,0,1
1928,AUS,F,Athletics,0,0,0,1
1932,AUS,F,Athletics,0,0,0,1
1936,AUS,F,Athletics,0,0,0,1
1948,AUS,F,Athletics,2,0,1,5
1952,AUS,F,Athletics,1,3,0,4
1956,AUS,F,Athletics,3,4,0,21
1960,AUS,F,Athletics,0,0,1,11
1964,AUS,F,Athletics,3,1,1,11
1968,AUS,F,Athletics,1,1,2,8
1972,AUS,F,Athletics,0,0,2,11
1976,AUS,F,Athletics,0,0,0,11
1980,AUS,F,Athletics,0,0,0,7
1984,AUS,F,Athletics,1,1,0,10
1988,AUS,F,Athletics,0,1,1,12
1992,AUS,F,Athletics,1,0,0,19
1996,AUS,F,Athletics,0,0,2,27
2000,AUS,F,Athletics,0,1,1,40
2004,AUS,F,Athletics,1,0,0,17
2008,AUS,F,Athletics,0,0,1,17
2012,AUS,F,Athletics,0,1,0,18
2016,AUS,F,Athletics,0,0,0,30
2020,AUS,F,Athletics,1,0,1,35
2024,AUS,F,Athletics,3,1,2,42
1992,AUS,F,Badminton,0,0,0,2
1996,AUS,F,Badminton,0,0,0,4
2000,AUS,F,Badminton,0,0,0,4
2004,AUS,F,Badminton,0,0,0,3
2008,AUS,F,Badminton,0,0,0,3
2012,AUS,F,Badminton,0,0,0,3
2016,AUS,F,Badminton,0,0,0,2
2020,AUS,F,Badminton,0,0,0,3
2024,AUS,F,Badminton,0,0,0,3
2020,AUS,F,Baseball,0,0,0,15
1984,AUS,F,Basketball,0,0,0,12
1988,AUS,F,Basketball,0,0,0,11
1996,AUS,F,Basketball,1,0,0,12
2000,AUS,F,Basketball,0,0,1,12
2004,AUS,F,Basketball,0,0,1,12
2008,AUS,F,Basketball,0,0,1,12
2012,AUS,F,Basketball,1,0,0,12
2016,AUS,F,Basketball,0,0,0,12
2020,AUS,F,Basketball,0,0,0,12
2024,AUS,F,Basketball,1,0,0,16
2012,AUS,F,Boxing,0,0,0,1
2016,AUS,F,Boxing,0,0,0,1
2020,AUS,F,Boxing,0,0,0,2
2024,AUS,F,Boxing,1,0,0,6
2024,AUS,F,Breaking,0,0,0,1
1956,AUS,F,Canoeing,0,0,0,1
1960,AUS,F,Canoeing,0,0,0,2
1964,AUS,F,Canoeing,0,0,0,2
1976,AUS,F,Canoeing,0,0,0,2
1984,AUS,F,Canoeing,0,0,0,1
1992,AUS,F,Canoeing,0,0,1,6
1996,AUS,F,Canoeing,1,0,0,8
2000,AUS,F,Canoeing,1,0,0,7
2004,AUS,F,Canoeing,0,0,0,7
2008,AUS,F,Canoeing,1,0,1,5
2012,AUS,F,Canoeing,0,0,1,7
2016,AUS,F,Canoeing,1,0,0,4
2020,AUS,F,Canoeing,1,1,0,9
2024,AUS,F,Canoeing,0,3,0,7
1988,AUS,F,Cycling,0,0,0,4
1992,AUS,F,Cycling,0,1,1,3
1996,AUS,F,Cycling,1,0,1,6
2000,AUS,F,Cycling,0,0,1,8
2004,AUS,F,Cycling,1,2,1,7
2008,AUS,F,Cycling,0,0,1,8
2012,AUS,F,Cycling,2,1,0,11
2016,AUS,F,Cycling,1,0,0,14
2020,AUS,F,Cycling,0,0,0,14
2024,AUS,F,Cycling,1,2,0,13
1920,AUS,F,Diving,0,0,0,1
1956,AUS,F,Diving,0,0,0,4
1960,AUS,F,Diving,0,0,0,1
1964,AUS,F,Diving,0,0,0,2
1968,AUS,F,Diving,0,0,0,1
1972,AUS,F,Diving,0,0,0,1
1976,AUS,F,Diving,0,0,0,2
1980,AUS,F,Diving,0,0,0,2
1984,AUS,F,Diving,0,0,0,3
1988,AUS,F,Diving,0,0,0,2
1992,AUS,F,Diving,0,0,0,4
1996,AUS,F,Diving,0,0,0,4
2000,AUS,F,Diving,1,0,0,3
2004,AUS,F,Diving,2,1,0,4
